,0,1
broken,-0.3441352,1.5113622
brooded,1.7930938,1.413833
brooding,0.94752973,0.7607515
brooked,-0.2813433,-0.38816047
brother,-2.4597125,-1.0528301
brothers,-2.4639802,-2.005782
brought,1.0084842,-1.6798944
brow,-0.85058504,-2.6589406
brown,2.8513463,0.2846881
brows,1.0379887,-2.460047
bryce,0.4425948,0.21250118
bucket,-3.6707902,1.7942551
built,-3.6489632,1.009699
burgundy,5.2555337,3.4154272
burial,-1.1186084,0.14125226
burned,-0.010136914,-0.6410984
burning,-0.30308542,0.3712951
but,-1.8198924,-0.15583031
butchers,-3.177754,-3.862448
butts,-1.5693777,1.0762444
by,-0.10719432,0.30220065
calculation,0.56381357,-1.4891698
call,-0.9866161,0.51171476
called,0.40969375,-2.6643088
calling,-0.65065295,0.28312147
calls,0.5413519,-0.28588417
came,0.08605997,-1.1407087
camp,1.0558959,0.50189674
camped,1.5934228,-0.64020324
can,-1.5303328,0.9850389
candle,-1.5137116,-0.8388474
candlelight,0.05134882,0.7526148
cane,0.8789321,-0.67567796
capable,0.79952174,1.078165
cape,1.3901088,1.1489459
care,-3.9082272,0.03328331
cared,-1.6112161,-0.69407713
carefully,0.16405216,-0.68933064
cares,-2.3201106,2.4220312
caron,-0.99906874,-2.662259
carpenters,1.000685,-2.006498
carracks,2.0456436,1.522268
carried,-0.60518426,-0.20072314
carry,-0.9136086,-0.29074886
carved,0.33755204,1.8575779
case,1.2571088,-1.1796998
castellan,0.98654324,2.341605
castle,0.39295208,-0.29803085
castles,-0.4090988,4.0040913
catch,-0.7329776,0.2592405
cats,-0.3918597,3.4554048
cause,0.71555126,-1.3108479
caution,-2.894578,1.7788075
cell,0.5682898,-2.1916416
celtigar,-1.4804159,2.7552881
center,2.2964664,1.8132602
central,-0.31038538,3.0110974
certain,-0.428226,1.3918557
chagrined,-1.2503765,-1.5405388
chain,1.1069028,-2.2019296
chained,0.95779026,-0.66582155
chair,0.58530277,-0.9050099
chamber,1.4247046,0.6785011
chambers,1.8779615,-2.429234
changing,-1.7401742,-0.10019452
charming,-4.5189385,-2.1602218
checked,0.008284403,-2.931552
cheek,-0.44869006,-0.7452148
cheeks,2.0104337,-1.1724305
cherished,0.92056084,-1.3683373
child,-0.6279848,-0.67939043
children,-0.22710586,-0.78675795
childs,4.080358,-0.586831
choice,1.6744493,-1.1660182
choking,0.22440903,-0.5227317
chosen,-0.20882124,-2.8609297
circling,2.4830952,-2.6921887
citadel,0.46965346,-0.41915914
cities,2.415356,4.5382996
city,2.0658023,2.102965
claim,-1.2750673,-0.23708826
claimed,1.4107306,-1.7613497
clammy,1.0044733,-2.453634
clang,5.3327494,-1.4260753
clangadang,4.367545,0.17777026
clangalanging,-7.232528,-0.2098733
clanging,5.2779145,-6.0237784
clangor,3.573732,-3.279874
clatter,6.1974654,-0.16723053
clay,3.7733288,3.7086532
clean,-1.9575288,2.0490649
cleaver,-3.0858479,-2.862937
clench,1.7568766,-8.041236
clenched,4.3576756,-0.23334946
clever,-3.6550353,-3.6813157
climb,0.26655978,-1.269508
climbed,-1.6784544,0.9659682
cloak,5.6557865,-8.434855
cloaked,2.276875,1.1957483
clong,22.636835,8.017747
close,-1.0200886,1.6111642
closed,0.77236223,-2.0101511
closer,-1.1955831,-0.30141994
clouds,5.8601084,1.4201661
clutching,0.9799583,-1.3177333
coast,1.8803053,-0.19941318
cogs,1.7996682,1.4522731
cold,-0.02583471,-1.1733451
collapsing,2.5167332,-2.8990571
collar,0.87904644,-0.021460105
colleague,-3.4081814,-0.08147714
color,1.2469954,-0.087965354
colors,1.2114221,1.4773293
come,-1.1695738,-0.8392673
comes,-1.9504098,0.97984767
comet,0.13658634,-1.5561423
comets,3.7797194,-3.8113976
coming,-1.7226386,1.1231112
command,-0.3670986,1.7761575
commanded,-0.74284166,-0.16666529
commander,0.914173,-0.72728455
commanding,3.371936,-1.223789
commands,0.6851203,1.657111
committed,-3.8143713,-2.763448
common,2.597824,-2.8382492
compass,2.2127485,2.07783
complained,-4.2385864,-1.3392175
conclave,-1.5180247,-0.9588738
condition,0.9609918,-1.998809
conqueror,-3.5237124,2.0009813
conquest,-0.14536816,0.8163623
consented,-1.1060213,2.7744544
considered,-3.04283,10.085134
contemplate,-1.7576935,-0.108125106
contents,-0.633863,0.6489545
cookfires,0.54320157,0.3662868
cordon,4.924954,1.4807823
corpse,-1.6253738,0.014771452
corpses,3.3611403,1.2451109
correct,0.15892865,-5.592153
costly,0.38824397,2.4097981
coughed,-0.27244678,0.97947997
could,-1.7787746,-0.44509724
council,0.1926218,0.3329478
counsel,-2.6601696,-1.5316769
courage,-2.2331064,-4.072314
courtiers,-1.802405,-0.38231248
cousins,-5.1261044,-2.7297797
cowbells,3.7193837,-3.5315952
cracked,0.7816918,-3.067467
craft,-0.73260987,-0.8651112
crags,1.938851,-0.54261553
crammed,3.6958203,-1.3825608
crashing,1.9561725,-0.33775508
cravenly,-0.7337244,0.99313265
creeping,-0.97469205,-0.45950037
crenellations,1.1493446,0.5479161
cressen,-1.5506623,-1.6366973
cressens,1.0112182,-2.2746873
crib,1.6999016,-1.1224916
croaked,-0.84558797,-1.878192
crop,0.45873803,0.04102984
cropped,6.1098433,-1.7160894
cross,0.27884522,-0.60464895
crowded,2.6271863,-1.922609
